Unnamed: 0,Unnamed: 1,County Growth Projections Residential Labor Force,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
Residential Labor Force,,,,,,,,,,,,,,,,,,,
,Estimate,Estimate,Projections,,,,,,,,,Share of 18 - 64 Population (1),,,,,,,
,2020,2021,2025,2030.0,2035.0,2040.0,2045.0,2050.0,,,,2020,2021.0,2025.0,2030.0,2035.0,2040.0,2045.0,2050.0
Delaware,114891,118150,131187,145617.0,160909.0,175061.0,188910.0,203502.0,,,,0.8869357789666273,0.8920212605321173,0.8886623358148797,0.8935860773941752,0.894217089761259,0.8973575620883205,0.8966211181303425,0.8987333945732052
Fairfield,79710,80424,83280,86584.0,91241.0,96111.0,101063.0,105823.0,,,,0.8340047083442322,0.8325638211971262,0.8385693571773803,0.8443677286601718,0.8442143637002906,0.8417056381693027,0.8384257377280382,0.8364793296972571
Fayette,13086,13121,13259,13501.0,13711.0,13907.0,14168.0,14477.0,,,,0.7708529688972667,0.7741916450318622,0.779987058062239,0.7816697545159796,0.7789013236380162,0.7767104160848924,0.7746733008912461,0.774212524733943
Franklin,726058,731431,752920,778090.0,816566.0,849882.0,878309.0,902851.0,,,,0.8578331872219058,0.8659021385005872,0.8643929835518271,0.8673527398710937,0.8638423649489247,0.8626903638318109,0.8591692858197925,0.8590015479802521
Hocking,13142,13073,12799,12451.0,12299.0,12215.0,12199.0,12149.0,,,,0.8003654080389768,0.7932164310418057,0.8048167012513362,0.8142698319272775,0.8159623167252703,0.817822710230316,0.8146243739565944,0.807779255319149
Knox,30473,30456,30391,30386.0,30962.0,31618.0,32388.0,33080.0,,,,0.8471546523588446,0.8448735019973369,0.8587696741925457,0.8619897307877791,0.8626434860135963,0.8592081306557243,0.8567800645468494,0.8547361893442199
Licking,89407,90319,93968,97617.0,105362.0,110546.0,114498.0,117974.0,,,,0.8371677107034842,0.8376443310920473,0.8444815903228995,0.850804026670153,0.8510456127880585,0.8485588178852428,0.843428874500011,0.8415953887529516
Logan,22389,22310,21993,21829.0,21858.0,22078.0,22455.0,22802.0,,,,0.8323667187151461,0.8298924971171372,0.8407431476738407,0.8472346206093537,0.8463891577928364,0.846484165324745,0.8464003015454202,0.8425836966964748
Madison,19956,20158,20969,21735.0,22718.0,23731.0,24705.0,25716.0,,,,0.7177384548985758,0.7157364010793922,0.7248936979292703,0.7297787328341672,0.7315172591447707,0.7288166825343202,0.7249545161101003,0.7240476391587127
Marion,27947,27820,27312,27117.0,27521.0,27825.0,27821.0,27631.0,,,,0.7089728303609935,0.7075099819434908,0.7160234899328859,0.7234865665270404,0.7230761146580489,0.7185280826339574,0.7127741340438615,0.7079607471367445
Morrow,18036,18136,18538,18719.0,19232.0,19721.0,20253.0,20862.0,,,,0.8662824207492795,0.8665902140672783,0.874351476275823,0.875333177460837,0.8766923462643024,0.8772296606022864,0.8749351995852773,0.8706648303493176
Perry,15812,15859,16047,15992.0,16126.0,16344.0,16612.0,16899.0,,,,0.7487451463206743,0.7508640689361299,0.7576487252124646,0.7612338156892612,0.7617023286571253,0.7581759985155634,0.7551938900759194,0.7552963260927863
Pickaway,26021,26311,27469,28856.0,30523.0,32143.0,33647.0,35016.0,,,,0.7131581111080659,0.7125138787337179,0.7155062384413013,0.7182218682330687,0.7208170976502538,0.7192275849723658,0.7185691404164442,0.7148894469284008
Ross,32727,32572,31955,31421.0,31204.0,31167.0,31139.0,31096.0,,,,0.6915664687361326,0.6890919861216891,0.6987448613662206,0.7022551013566368,0.7040296015522766,0.6999887703537339,0.7001776358689542,0.6985353580735016
Union,32882,33059,33765,35981.0,38766.0,42007.0,45552.0,48990.0,,,,0.8298087114520769,0.809951979615837,0.8297291984076277,0.8339166106565926,0.8369170984455958,0.8404593745623337,0.8397301183497401,0.8376936493279984
Total,1262537,1273199,1315852,1365896.0,1438998.0,1504356.0,1563719.0,1618868.0,,,,0.8376944140524178,0.8417933677314934,0.844595553050867,0.8491077783821587,0.848114754388219,0.8475522017057459,0.8449543539989895,0.8446865717277727
,,,,,,,,,,,,,,,,,,,
Residential Employed Workers,,,,,,,,,,,,,,,,,,,
,Estimate,Estimate,Projections,,,,,,,,,Unemployment Rate,,,,,,,
,2020,2021,2025,2030.0,2035.0,2040.0,2045.0,2050.0,,,,2020,2021.0,2025.0,2030.0,2035.0,2040.0,2045.0,2050.0
Delaware,111824,115004,127725,141809.0,156745.0,170552.0,184044.0,198235.0,,,,0.026694867309014603,0.02662716885315275,0.026389809965926547,0.026150792833254388,0.025877980722022964,0.0257567362233736,0.025758297602032743,0.025881809515385545
Fairfield,76347,77027,79745,82920.0,87392.0,92057.0,96794.0,101342.0,,,,0.04219044034625519,0.042238635233263655,0.04244716618635924,0.04231728725861594,0.04218498262842363,0.042180395584272334,0.04224097839961216,0.04234429188361699
Fayette,12431,12463,12592,12824.0,13020.0,13220.0,13472.0,13763.0,,,,0.05005349228182787,0.050148616721286454,0.05030545289991706,0.050144433745648476,0.05039749106556779,0.04939958294384128,0.04912478825522304,0.049319610416522774
Franklin,690361,695458,715847,739679.0,776482.0,808149.0,835226.0,858616.0,,,,0.04916549366579526,0.04918167263897755,0.04923896297083352,0.04936575460422321,0.04908849988855768,0.049104463913813956,0.04905221283170269,0.04899479537598117
Hocking,12643,12579,12322,11987.0,11841.0,11763.0,11745.0,11694.0,,,,0.037969867600060825,0.03778780693031436,0.0372685366044222,0.03726608304553847,0.03723879990243106,0.03700368399508802,0.03721616525944749,0.037451642110461814
Knox,29158,29141,29069,29056.0,29603.0,30223.0,30952.0,31611.0,,,,0.0431529550749844,0.04317704229051744,0.0434997203119345,0.04377015730928713,0.043892513403526956,0.04412043772534635,0.04433740891688276,0.044407496977025396
Licking,85903,86778,90278,93771.0,101207.0,106187.0,110000.0,113356.0,,,,0.039191562181932094,0.039205482788782,0.039268687212668185,0.03939887519591878,0.03943547009358217,0.03943154885748923,0.039284528987405865,0.03914421821757341
Logan,21388,21315,21023,20870.0,20902.0,21108.0,21464.0,21792.0,,,,0.04470945553620076,0.04459883460331693,0.04410494248169872,0.04393238352650142,0.043736846921035744,0.04393513905245039,0.04413270986417284,0.04429436014384702
Madison,19186,19382,20164,20905.0,21854.0,22839.0,23792.0,24772.0,,,,0.03858488675085192,0.0384958825280286,0.038390004292050195,0.03818725557855995,0.0380315168588784,0.037587965108929255,0.0369560817648249,0.03670866386685334
Marion,26201,26078,25587,25379.0,25739.0,26024.0,26034.0,25881.0,,,,0.06247539986402839,0.06261682242990652,0.06315905096660812,0.06409263561603418,0.06475055412230657,0.06472596585804136,0.06423205492254058,0.06333466034526436
Morrow,17535,17633,18024,18220.0,18723.0,19188.0,19708.0,20305.0,,,,0.02777777777777779,0.027734891927657657,0.027726831373395155,0.026657406912762416,0.026466306156405994,0.027027027027026973,0.026909593640448315,0.02669926181574156
Perry,14855,14898,15070,15026.0,15163.0,15361.0,15608.0,15878.0,,,,0.06052365292183148,0.06059650671542971,0.06088365426559483,0.06040520260130067,0.059717226838645665,0.06014439549681838,0.06043823741873344,0.060417776199775175
Pickaway,24858,25137,26252,27579.0,29175.0,30746.0,32194.0,33519.0,,,,0.04469466968986591,0.04462012086199685,0.04430448869634862,0.04425422789021349,0.04416341775054877,0.04346202905764862,0.043183641929443906,0.04275188485263881
Ross,30668,30519,29924,29413.0,29197.0,29174.0,29153.0,29124.0,,,,0.06291441317566537,0.06302959597200053,0.06355812861836962,0.06390630470067793,0.06431867709268047,0.06394584015144222,0.06377854137897809,0.06341651659377412
Union,31920,32096,32798,34960.0,37650.0,40766.0,44178.0,47523.0,,,,0.02925612797275101,0.029129737741613426,0.028639123352584006,0.0283760873794503,0.028788113295155515,0.029542695265074914,0.030163329820864115,0.029944886711573804
Total,1205278,1215508,1256420,1304398.0,1374693.0,1437357.0,1494364.0,1547411.0,,,,0.04535233422862062,0.04531184834421009,0.04516617370342557,0.04502392568687519,0.044687344944190355,0.04453666552332025,0.04435259787724011,0.044140102837291195
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,"Labor force is estimated based on participation among age groups from ages 16 - 79, though the vast majority of people in the labor force are between the ages of 18 and 64.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,"Updated July 25, 2023",,,,,,,,,,,,,,,,,,
